ID,understood consent,voluntary consent,publication consent,data storage consent,mainconsent-1,vision/hearing,cognitive/dyslexia,prop_distraction,headphones,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Viewport Size,same_day,age,gender,nationality,location,abroad,education,L1,dialect,dialect_additions,age of onset,length of study,abroad_stay,length of stay,English qualification,English qual_additions,L3,L3_additions,listeningprofscore,readingprofscore,writingprofscore,speakingprofscore,sum_prof,mean_prof,level,prof_test_score,mean_test,Englishhours_listen,Arabichours_listen,Otherhours_listen,Englishhours_read,Arabichours_read,Otherhours_read,Englishhours_interact,Arabichours_interact,Otherhours_interact,prop_English_hours,prop_English_lit_hours,prop_Arabic_hours,prop_arabic_lit_hours
5370516,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,headphones,computer,Desktop or Laptop,Windows,Chrome,1366x625,1,32,m,Saudi,USA,yes,doctorate,Arabic,Saudi,Gulf,13,19,yes,> 5 years,Postgraduate Degree,PhD,none,,5,5,5,3,18,4.5,advanced,12,1,12,10,0,4,1,0,6,6,0,0.56,0.1,0.435897436,0.025641026
5359087,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,no_headphones,computer,Desktop or Laptop,Windows,Chrome,1366x657,1,26,f,Saudi,Saudi Arabia,no,masters,Arabic,Saudi,Najdi,10,12,no,none,none,,none,,3,2,1,3,9,2.25,intermediate,10,0.83,0,14,0,0,14,0,0,15,0,0,0,1,0.325581395
5359091,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.29,no_headphones,mobile,Apple iPhone,iOS,Mobile Safari,832x322,1,43,f,Saudi,Saudi Arabia,no,bachelors,Arabic,Saudi,Najdi,13,9,no,none,none,,none,,2,3,3,2,10,2.5,intermediate,10,0.83,3,11,0,1,1,0,1,8,0,0.2,0.04,0.8,0.04
5337282,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.81,headphones,computer,Desktop or Laptop,Windows,Chrome,1280x569,1,42,f,Saudi,UK,yes,masters,Arabic,Saudi,,14,9,yes,> 1 year,Postgraduate Degree,MA,French,,3,4,4,4,15,3.75,intermediate,10,0.83,9,22,1,11,12,0,11,17,0,0.37,0.13,0.614457831,0.144578313
5359092,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.07,earphones,computer,Desktop or Laptop,Mac OS,Safari,1194x727,1,40,f,Saudi,Saudi Arabia,no,masters,Arabic,Saudi,Najdi,12,6,no,none,none,,none,,2,1,1,1,5,1.25,beginner,9,0.75,1,6,0,0,3,0,0,5,0,0.07,0,0.933333333,0.2
5357676,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,no_headphones,computer,Desktop or Laptop,Windows,Chrome,1366x625,1,42,f,Saudi,Saudi Arabia,no,masters,Arabic,Saudi,Najdi,12,11,no,none,IELTS,5.5,none,,4,2,1,4,11,2.75,intermediate,10,0.83,1,13,0,2,2,0,0,13,0,0.1,0.06,0.903225806,0.064516129
5342157,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,no_headphones,tablet,Apple iPad,iOS,GSA,1194x658,1,28,f,Saudi,Saudi Arabia,no,secondary,Arabic,Saudi,,26,0,no,none,none,,none,,0,1,1,1,3,0.75,beginner,4,0.33,2,13,0,1,16,0,1,12,0,0.09,0.02,0.911111111,0.355555556
5341797,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.15,headphones,mobile,Huawei CLT-L29,Android,Chrome,720x277,1,26,m,Saudi,Saudi Arabia,no,masters,Arabic,Saudi,Najdi Southern,12,13,yes,> 1 year,Postgraduate Degree,MA,none,,5,5,5,3,18,4.5,advanced,9,0.75,6,13,0,7,10,0,1,8,0,0.31,0.15,0.688888889,0.222222222
5339892,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.75,headphones,computer,Desktop or Laptop,Windows,Chrome,1280x609,1,28,f,Omani,Oman,no,bachelors,Arabic,Omani,Omani,10,,yes,> 1 year,Undergraduate Degree,BA,French,,5,5,4,4,18,4.5,nearnative,11,0.92,2,6,1,1,1,1,1,6,0,0.21,0.05,0.684210526,0.052631579
5336722,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,earphones,computer,Desktop or Laptop,Windows,Chrome,1280x609,1,32,f,Saudi,Saudi Arabia,no,masters,Arabic,Saudi,,7,19,yes,> 1 year,Postgraduate Degree,MA,none,,4,5,4,4,17,4.25,nearnative,11,0.92,4,7,0,6,3,0,4,6,0,0.47,0.2,0.533333333,0.1
